3502,3502,3501.8,3501,3498,3484.4,3432.6,3254.6,2788.9,2069.1,1671,1958.9,2323.6,2329.8,2191.8,25,10,12,3502,1100,210,2008
164.38,165.5,169.85,184.08,217.5,281.27,367.12,458.79,542.96,616.53,696.6,798.82,906.28,992.94,1048.5,3,20,14,164,701,500,1100
603.99,603.97,603.89,603.52,602.26,597.59,582.19,544.28,486.01,459.47,524.32,661.91,816.73,955.47,1062.1,15,5,10,604,120,440,1200
11.003,11.014,11.045,11.173,11.626,12.922,16.369,23.258,34.492,50.953,72.785,99.251,127.86,154.26,174.56,7,10,8,11,353,700,200
122,122.01,122.06,122.2,122.86,125.12,132.61,152.11,190.27,241.09,281.06,287.72,262.02,229.71,210.47,12,8,15,122,260,900,200
300,299.98,299.95,299.83,299.49,299.02,300.08,307.88,326.72,342.03,318.38,248.04,174.5,134.73,122.51,5,12,10,300,284,1005,120
68.003,68.011,68.049,68.175,68.636,70.491,76.457,92.809,126.63,180.1,244.08,299.9,323.91,299.93,230.22,13,8,10,68,627,3400,17
1265,1367.9,1609.8,2078.2,2524.2,2678.4,2165.2,1124.9,460.46,503.98,864.83,1209.2,1393.5,1466.2,1491.5,1.2,10.6,118,1235.3,3518.3,205.5,1504
164.01,164.02,164.09,164.37,165.33,168.3,175.42,181.75,168.48,128.35,99.339,115.04,150.75,189.23,249.92,10,5,21,164,627.9,7.6,387.7
1352,1352,1351.9,1351.7,1350.9,1347.5,1333.8,1289.1,1174.5,999.11,908.7,1030.5,1277.3,1531.8,1749.3,20,10,12,1352,1100,210,2008
1320,1319.9,1319.7,1318.8,1315.3,1304.7,1269.9,1171.4,948.69,599.7,273.45,124.73,103.37,110.18,116.37,5,12,5,1320,1310,12,125
1164,1163.8,1163.3,1160.7,1151.3,1112.4,994.29,730.1,384.55,173.03,145.56,234.04,415.43,639.48,842.55,13,20,14,1164,71,500,1100
111.21,111.82,113.58,118.51,131.74,156.12,190,219.58,232.32,223.44,206.31,199.71,202.64,204.38,203.25,3,10,8,111,353,70,200
1121.9,1121.8,1121.1,1117.7,1105.5,1056.2,913.05,617.39,274.88,103.42,93.037,122.9,153.32,176.34,189.64,12,20,15,1122,26,900,200
130.04,130.15,130.64,132.45,138.48,153.08,179.96,214.08,248.15,274.83,276,236.06,178.99,143.61,131.69,5,24,10,130,284,1005,120
